,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Interior Color,Seats,Registered Car,Exchange Possible,Price,Location,VIN Chassis number,Registered city,Selling Condition,Bought Condition
269,No faults,Toyota,Sienna,2000,,,,,,,Blue,Brown,,No,No,9000000.0,Lagos,,,,
270,No faults,Mercedes-Benz,GLE-Class,2023,AMG GLE 53 4MATIC,SUV,All Wheel,3000cc,6,434hp,White,Other,5,No,Yes,195000000.0,Lagos,,,,
271,No faults,Lexus,IS,2023,,,,,,,Gray,Red,,No,,75000000.0,Lagos,,,,
272,"First owner, First registration, No faults",Honda,Pilot,2007,,,,,,,Gold,Brown,,Yes,Yes,4350000.0,Lagos,,,,
273,,Mercedes-Benz,GLK-Class,2015,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),SUV,All Wheel,3500cc,6,302hp,Blue,Beige,5,No,,28000000.0,Lagos,,,,
274,,Toyota,Avalon,2012,Base Sedan FWD (3.5L 6cyl 6A),Sedan,Front Wheel,3500cc,6,268hp,Silver,,5,,,10687500.0,Abuja,,Oyo,Registered,Imported
275,No faults,Lexus,ES,2004,330 Sedan,Sedan,Front,,6,,Black,Other,5,No,,9800000.0,Lagos,,,,
276,,Toyota,Camry,2018,SE FWD (2.5L 4cyl 8AM),Sedan,Front,2500cc,4,203hp,Black,,5,Yes,,25500000.0,Lagos,,,,
277,"Original parts, No faults",Hyundai,Sonata,2013,Limited Sedan FWD (2.4L 4cyl 6A),Sedan,Front Wheel,2400cc,4,,Blue,Gray,,No,No,11700000.0,Abuja,,,,
278,"No faults, Unpainted",Lexus,RX,2017,350 FWD,SUV,Front Wheel,3500cc,6,295hp,Black,,5,No,,44000000.0,Abuja,,,,
279,No faults,Lexus,IS,2008,300 Automatic,Sedan,Rear Wheel,3000cc,6,219hp,Black,Black,5,Yes,No,8900000.0,Abuja,,,,
280,No faults,Mercedes-Benz,G-Class,2020,Base G 550 AWD,SUV,All Wheel,4000cc,8,416hp,Gray,Red,5,No,,250000000.0,Abuja,,,,
281,,Toyota,FJ Cruiser,2008,,,,,,,Black,Black,,Yes,,9800000.0,Lagos,,,,
282,No faults,Hyundai,Santa Fe,2014,,,,,,,Black,,,No,,21000000.0,Rivers,,,,
283,,Honda,HR-V,2024,,,,,,,Black,Black,,No,No,55000000.0,Lagos,,,,
284,,Rover,Land,2020,,,,,,,Black,Black,,No,Yes,53000000.0,Lagos,,,,
285,No faults,Mercedes-Benz,C300,2009,,,,,,,White,Beige,,,,7700000.0,Abuja,,,,
286,"Original parts, Unpainted, No faults",Hyundai,Santa Fe,2014,GLS 4dr SUV AWD (3.3L 6cyl 6A),SUV,All Wheel,3300cc,6,290hp,Silver,Gray,,No,,15900000.0,Lagos,,,,
287,No faults,Toyota,Sienna,2002,,,,,,,Gold,Brown,,Yes,,2950000.0,Lagos,,,,
