,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Interior Color,Seats,Registered Car,Exchange Possible,Price,Location,VIN Chassis number,Registered city,Selling Condition,Bought Condition
80,"First owner, Original parts, No faults",Toyota,Camry,2002,LE 4dr Sedan (2.4L 4cyl 5M),Sedan,Front,2400 cc,4,157 hp,Blue,Brown,5,Yes,Yes,2250000.0,Rivers,,,,
81,No faults,Mercedes-Benz,GLB-Class,2020,,,,,,,Black,Black,,No,,66000000.0,Abuja,,,,
82,No faults,Mercedes-Benz,GLE-Class,2019,GLE 450 4MATIC,SUV,All Wheel,3000 cc,6,362 hp,Gray,Gray,5,No,Yes,125000000.0,Lagos,,,,
83,,Geely,Coolray,2024,1.5 FWD,SUV,Front Wheel,1500 cc,3,150 hp,White,Black,5,Yes,Yes,78000000.0,Lagos,,,,
84,No faults,Toyota,Venza,2012,AWD,Crossover,All Wheel,2700 cc,4,185 hp,White,Brown,5,No,,17250000.0,Abuja,,,,
85,No faults,Lexus,GX,2015,460 Luxury,SUV,4x4,4600cc,8,301hp,Black,Other,7,No,Yes,39820000.0,Lagos,,,,
86,,Toyota,Camry,2015,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500cc,4,178hp,Silver,Black,5,,,14000000.0,Lagos,,,,
87,"Original parts, Unpainted, No faults",Mercedes-Benz,GLK-Class,2011,350 4MATIC,SUV,All Wheel,3500cc,6,268hp,Black,Other,5,No,,17950000.0,Lagos,,,,
88,No faults,Mercedes-Benz,GLC-Class,2018,,,,,,,White,Black,,No,,60000000.0,Lagos,,,,
89,,Toyota,Granvia,2024,,,,,,,Black,Gray,,,,130000000.0,Lagos,,,,
90,,Lexus,RX 350,2018,,,,,,,White,Black,,No,No,55000000.0,Lagos,,,,
91,No faults,Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500cc,6,274hp,Gray,Black,5,No,,22000000.0,Lagos,,,,
92,,Lexus,RX,2015,,,,,,,Silver,,,No,,21000000.0,Lagos,,,,
93,"First owner, Original parts, No faults",Toyota,Corolla,2010,Base 4dr Sedan (1.8L 4cyl 5M),Sedan,Front,1800cc,4,132hp,Red,Other,5,Yes,No,7350000.0,Rivers,,,,
94,"First owner, Original parts, No faults",Toyota,Corolla,2006,1.4 VVT-i,,Front,1400cc,4,97hp,Gray,,5,Yes,,5300000.0,Rivers,,,,
95,,Toyota,Sienna,2011,LE 8 Passenger,Minivan,Front Wheel,2700cc,4,190hp,Red,,8,No,,12000000.0,Lagos,,,,
96,No faults,Mercedes-Benz,C350,2013,,,,,,,Gray,Black,,,,12900000.0,Abuja,,,,
97,"No faults, Original parts, First registration",Acura,RDX,2007,5-speed Automatic,SUV,All Wheel,2300cc,4,243hp,Burgundy,Black,5,Yes,,6700000.0,Oyo,,,,
98,"No faults, Unpainted",Mercedes-Benz,M Class,2014,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),SUV,All Wheel,3500cc,6,302hp,Other,Other,5,Yes,Yes,22500000.0,Lagos,,,,
99,No faults,Toyota,Corolla,2007,,,,,,,Gray,Black,,Yes,,5400000.0,Rivers,,,,
100,No faults,Mercedes-Benz,C300,2016,Luxury Sedan RWD (2.0L 4cyl 7A),Sedan,Rear Wheel,2000cc,4,241hp,Silver,Black,5,No,No,29500000.0,Lagos,,,,
101,,Acura,MDX,2016,,,,,,,Black,,,No,,21000000.0,Lagos,,,,
102,,Toyota,4-Runner,2006,Limited 4x4 V6,SUV,All Wheel,4000cc,6,236hp,Silver,,5,No,,12000000.0,Lagos,,,,
103,No faults,Lexus,RX 350,2014,,,,,,,Red,Black,,No,,28000000.0,Lagos,,,,
104,No faults,Lexus,NX,2016,200 FWD,SUV,Front Wheel,2000cc,4,150hp,White,Black,5,No,,36500000.0,Lagos,,,,
105,No faults,Mercedes-Benz,G-Class,2019,G 63 AMG 4MATIC,SUV,All Wheel,4000cc,8,585hp,White,Other,5,No,Yes,295000000.0,Lagos,,,,
106,No faults,Hyundai,Santa Fe,2011,Limited,SUV,Front Wheel,2400cc,4,177hp,Green,,5,Yes,No,6650000.0,Lagos,,,,
107,No faults,Toyota,Camry,2006,LE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400cc,4,154hp,Gold,Beige,5,No,,5000000.0,Lagos,,,,
108,,Toyota,Highlander,2005,V6,SUV,,3300cc,6,233hp,Red,,5,No,,13000000.0,Lagos,,,,
109,No faults,Pontiac,Vibe,2008,,,,,,,Blue,Black,,Yes,,7200000.0,Abuja,,,,
110,No faults,Kia,Sportage,2008,LX 4dr SUV 4x4 (2.7L 6cyl 4A),SUV,,2700cc,6,,Red,Black,,No,,3000000.0,Lagos,,,,
111,"Original parts, No faults",Toyota,Camry,2015,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500cc,4,178hp,Black,Black,5,No,,18500000.0,Lagos,,,,
112,No faults,Toyota,Highlander,2020,,,,,,,Silver,Other,,No,,63000000.0,Lagos,,,,
113,No faults,Mercedes-Benz,GLE-Class,2017,,,,,,,Red,Orange,,No,,75000000.0,Abuja,,,,
114,,Hyundai,Sonata,2012,,,,,,,Black,Gray,,No,No,9500000.0,Lagos,,,,
115,No faults,Mercedes-Benz,GLC-Class,2017,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,,2000cc,4,,Black,Other,,No,,60000000.0,Lagos,,,,
116,"No faults, Unpainted, Original parts",Toyota,Sequoia,2012,Platinum 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Black,,,No,,18550000.0,Lagos,,,,
117,No faults,Mercedes-Benz,C300,2014,,,,,,,Blue,Other,,,,14000000.0,Abuja,,,,
118,"No faults, Unpainted, Original parts",Toyota,Sequoia,2004,Limited 4dr SUV 4WD (4.7L 8cyl 4A),SUV,,4700cc,8,,Black,,,No,,6550000.0,Lagos,,,,
119,No faults,Toyota,Highlander,2017,,,,,,,Black,Other,,No,,36800000.0,Lagos,,,,
120,,Toyota,Highlander,2015,Limited 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,270hp,Black,Beige,7,No,No,22500000.0,Lagos,,,,
121,Unpainted,Toyota,Venza,2010,,,,,,,Green,Brown,,Yes,Yes,11550000.0,Abuja,,,,
122,No faults,Toyota,Camry,2002,LE V6 4dr Sedan (3.0L 6cyl 4A),Sedan,Front,3000cc,6,192hp,Silver,Gray,5,Yes,Yes,3999999.0,Lagos,,,,
123,"No faults, Unpainted, Original parts",Toyota,Sequoia,2012,Limited 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Black,,,,,19550000.0,Lagos,,,,
124,"No faults, Unpainted, Original parts",Toyota,Sequoia,2016,Platinum 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Black,Brown,,No,,32000000.0,Lagos,,,,
125,"No faults, Unpainted, Original parts",Toyota,Tacoma,2011,Double Cab V6,Pickup,All Wheel,4000cc,6,240hp,Gray,,5,No,,18550000.0,Lagos,,,,
126,"No faults, Unpainted, Original parts",Toyota,Highlander,2013,Limited 3.5l 4WD,SUV,All Wheel,3500cc,6,270hp,Red,,5,,,18550000.0,Lagos,,,,
127,No faults,Mercedes-Benz,C300,2014,Luxury 4Matic Sedan AWD (3.5L 6cyl 7A),Sedan,All Wheel,3500cc,6,248hp,White,Other,5,No,,13850000.0,Lagos,,,,
128,,Lexus,LX,2023,,,,,,,Black,Beige,,No,No,600000000.0,Abuja,,,,
129,"Original parts, Unpainted, No faults",Toyota,Camry,2010,,,,,,,Gray,Other,,Yes,,8300000.0,Lagos,,,,
130,"No faults, Unpainted, Original parts",Toyota,Sequoia,2015,Platinum 4dr SUV 4WD (5.7L 8cyl 6A),SUV,All Wheel,5700cc,8,381hp,Black,,,No,,32000000.0,Lagos,,,,
131,No faults,Mercedes-Benz,GLC-Class,2019,,,,,,,Blue,Other,,No,,65000000.0,Lagos,,,,
132,"No faults, Unpainted, Original parts",Toyota,Sequoia,2010,Limited 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Silver,,,No,,19550000.0,Lagos,,,,
133,"No faults, Unpainted, Original parts",Toyota,4-Runner,2011,Limited 4WD,SUV,All Wheel,4000cc,6,270hp,Black,Black,5,,,31550000.0,Lagos,,,,
134,No faults,Toyota,Corolla,2020,,,,,,,Gray,Other,,No,,25000000.0,Lagos,,,,
135,"Original parts, Unpainted, No faults",Toyota,Sienna,2005,CE,Minivan,Front Wheel,3300cc,6,233hp,Silver,Gray,7,No,,8800000.0,Lagos,,,,
136,"No faults, Unpainted, Original parts",Toyota,Sequoia,2004,Limited 4dr SUV 4WD (4.7L 8cyl 4A),SUV,,4700cc,8,,Green,,,No,,6550000.0,Lagos,,,,
137,"No faults, Unpainted, Original parts",Toyota,Highlander,2013,Limited 3.5l 4WD,SUV,All Wheel,3500cc,6,270hp,Blue,Black,5,No,,18550000.0,Lagos,,,,
138,"No faults, Original parts, Unpainted",Mercedes-Benz,Viano,2017,,,,,,,Black,Other,,,,85000000.0,Lagos,,,,
139,No faults,Toyota,Sequoia,2011,Limited 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Black,,,No,,17550000.0,Lagos,,,,
140,"No faults, Unpainted, Original parts",Toyota,Sequoia,2007,,,,,,,Silver,,,,,6350000.0,Lagos,,,,
141,No faults,Lexus,GX,2010,460,SUV,All Wheel,4600cc,8,305hp,Silver,Black,7,No,,31500000.0,Lagos,,,,
142,,Mercedes-Benz,M Class,2012,,,,,,,White,,,No,Yes,26000000.0,Abuja,,,,
143,No faults,Toyota,Corolla,2016,,,,,,,Blue,,,,,16500000.0,Abuja,,,,
144,"No faults, Unpainted, Original parts",Toyota,Sequoia,2015,Platinum 4dr SUV 4WD (5.7L 8cyl 6A),SUV,All Wheel,5700cc,8,381hp,Silver,,,No,,32550000.0,Lagos,,,,
145,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Silver,,5,No,,13550000.0,Lagos,,,,
146,"No faults, Unpainted, Original parts",Lexus,RX 350,2008,,,,,,,Gray,Black,,No,,13550000.0,Lagos,,,,
147,"Unpainted, No faults, Original parts",Toyota,Sequoia,2015,Platinum 4dr SUV 4WD (5.7L 8cyl 6A),SUV,All Wheel,5700cc,8,381hp,Black,,,No,,33550000.0,Lagos,,,,
148,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Silver,,5,No,,13550000.0,Lagos,,,,
149,No faults,Toyota,Venza,2014,LE 4dr Wagon AWD (2.7L 4cyl 6A),SUV,All Wheel,2700cc,4,181hp,Brown,Other,5,No,,18800000.0,Lagos,,,,
150,No faults,Mercedes-Benz,GLE-Class,2018,GLE 350,,,,,,Black,Black,,No,No,49000000.0,Lagos,,,,
151,"Unpainted, No faults",Honda,Accord Crosstour,2012,EX-L,Hatchback,Front Wheel,3500cc,6,275hp,Silver,Black,5,No,,12500000.0,Lagos,,,,
152,"No faults, Unpainted, Original parts",Toyota,Highlander,2015,XLE 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,270hp,Gold,,7-8,No,,25550000.0,Lagos,,,,
153,"No faults, Unpainted, Original parts",Toyota,Highlander,2006,Limited V6,SUV,All Wheel,3300cc,6,218hp,Silver,,7,,,10550000.0,Lagos,,,,
154,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Gold,,5,,,12000000.0,Lagos,,,,
155,"No faults, Unpainted, Original parts",Lexus,ES,2014,350 FWD,Sedan,Front Wheel,3500cc,6,268hp,Silver,Black,5,No,,21000000.0,Lagos,,,,
156,No faults,Lexus,ES,2013,,,,,,,Gray,Black,,,,23200000.0,Lagos,,,,
157,No faults,Mercedes-Benz,GLE-Class,2017,GLE 400 4MATIC,SUV,All Wheel,3000cc,6,328hp,Gray,Black,5,No,No,48000000.0,Lagos,,,,
158,"No faults, Unpainted, Original parts",Toyota,4-Runner,2011,Limited 4WD,SUV,All Wheel,4000cc,6,270hp,Blue,Black,5,,,28550000.0,Lagos,,,,
159,"Unpainted, No faults, Original parts",Toyota,4-Runner,2009,Limited V6,SUV,Rear Wheel,4000cc,6,236hp,Blue,,5,No,,14550000.0,Lagos,,,,
160,"No faults, Unpainted, Original parts",Toyota,Tacoma,2010,Double Cab V6 Automatic,Pickup,All Wheel,4000cc,6,239hp,Green,Other,5,,,19550000.0,Lagos,,,,
161,"No faults, Unpainted, Original parts",Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500cc,6,274hp,Black,,5,No,,16550000.0,Lagos,,,,
162,"No faults, Unpainted, Original parts",Toyota,Sequoia,2011,Limited 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Silver,Other,,No,,21550000.0,Lagos,,,,
163,No faults,Toyota,RAV4,2013,XLE AWD (2.5L 4cyl 6A),,,,,,Green,Black,,No,,18800000.0,Lagos,,,,
164,No faults,Toyota,Camry,2005,LE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400cc,4,160hp,Gold,Brown,5,No,No,9800000.0,Lagos,,,,
165,"Original parts, No faults",Toyota,RAV4,2010,3.5 4x4,SUV,All Wheel,3500cc,6,,Silver,Gray,5,No,,12500000.0,Lagos,,,,
166,"No faults, Unpainted, Original parts",Toyota,Highlander,2006,Limited V6,SUV,All Wheel,3300cc,6,218hp,Gray,,7,No,,10550000.0,Lagos,,,,
167,"No faults, Unpainted, Original parts",Toyota,Highlander,2009,Limited 4x4,SUV,All Wheel,3500cc,6,274hp,White,,7,No,,15550000.0,Lagos,,,,
168,"No faults, Unpainted, Original parts",Toyota,Highlander,2013,Limited 3.5l 4WD,SUV,All Wheel,3500cc,6,270hp,Gray,,5,No,,16550000.0,Lagos,,,,
169,"No faults, Original parts, Unpainted",Toyota,Sequoia,2012,Platinum 4dr SUV 4WD (5.7L 8cyl 6A),SUV,,5700cc,8,,Gray,,,No,,25500000.0,Lagos,,,,
170,"No faults, Unpainted, Original parts",Lexus,RX,2008,350 AWD,SUV,All Wheel,3400cc,6,274hp,Silver,,5,No,,13550000.0,Lagos,,,,
171,"No faults, Unpainted",Lexus,RX,2018,,,,,,,Blue,Black,,No,,47000000.0,Lagos,,,,
172,No faults,Lexus,ES,2014,350 FWD,Sedan,Front Wheel,3500cc,6,268hp,Gold,Other,5,No,,24500000.0,Lagos,,,,
173,No faults,Toyota,4-Runner,2014,Limited 4dr SUV 4WD (4.0L 6cyl 5A),SUV,All Wheel,4000cc,6,270hp,Black,Other,5,No,,53000000.0,Lagos,,,,
174,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Sport Edition,SUV,All Wheel,4000cc,6,260hp,Silver,Black,5,No,,14550000.0,Lagos,,,,
175,"Original parts, Unpainted, No faults",Toyota,Highlander,2016,XLE V6 4x4 (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,270hp,Silver,Black,7,,,31000000.0,Lagos,,,,
176,"No faults, Unpainted, Original parts",Toyota,Tacoma,2012,Access Cab V6 Automatic,Pickup,All Wheel,4000cc,6,239hp,White,,4,No,,18550000.0,Lagos,,,,
177,"No faults, Unpainted, Original parts",Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500cc,6,274hp,Green,Other,5,No,,17550000.0,Lagos,,,,
178,No faults,Lexus,IS,2006,250 AWD,Sedan,All Wheel,2500cc,6,208hp,Gray,Black,5,No,,11800000.0,Lagos,,,,
179,"Original parts, No faults",Lexus,RX,2005,330,SUV,Front Wheel,3300cc,6,234hp,Blue,Beige,5,,,7800000.0,Lagos,,,,
180,No faults,Toyota,Camry,2010,,,,,,,Green,Other,,No,No,10600000.0,Lagos,,,,
181,"No faults, Unpainted, Original parts",Toyota,Tacoma,2011,Double Cab V6,Pickup,All Wheel,4000cc,6,240hp,Gray,,5,No,,17000000.0,Lagos,,,,
182,"No faults, Unpainted",Toyota,Tacoma,2018,,,,,,,Silver,Other,,No,,37000000.0,Lagos,,,,
183,"No faults, Original parts, Unpainted",Toyota,Sequoia,2006,Limited 4dr SUV (4.7L 8cyl 5A),SUV,,4700cc,8,,Black,,,No,,7550000.0,Lagos,,,,
184,"No faults, Unpainted, Original parts",Toyota,Highlander,2010,Limited,SUV,Front Wheel,3500cc,6,274hp,Black,,7,No,,14000000.0,Lagos,,,,
185,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Black,,5,No,,14550000.0,Lagos,,,,
186,No faults,Mercedes-Benz,GLK-Class,2014,350 4MATIC,SUV,All Wheel,3500cc,6,302hp,White,Black,5,No,,22500000.0,Lagos,,,,
187,"No faults, Original parts, Unpainted",Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500cc,6,274hp,Gray,,5,No,,17550000.0,Lagos,,,,
188,Unpainted,Hyundai,Sonata,2013,Limited Sedan FWD (2.4L 4cyl 6A),Sedan,Front Wheel,2400cc,4,,Gray,Beige,,No,,13200000.0,Lagos,,,,
189,"No faults, Unpainted, Original parts",Toyota,Highlander,2013,Limited 3.5l 4WD,SUV,All Wheel,3500cc,6,270hp,Burgundy,,5,No,,18500000.0,Lagos,,,,
190,"No faults, Unpainted, Original parts",Toyota,Highlander,2016,XLE V6 4x4 (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,270hp,Gray,,7,No,,28550000.0,Lagos,,,,
191,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Black,,5,No,,10550000.0,Lagos,,,,
192,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Sport Edition,SUV,All Wheel,4000cc,6,260hp,Gray,Black,5,,,12550000.0,Lagos,,,,
193,No faults,Lexus,RX,2013,350 AWD,SUV,All Wheel,3500cc,6,270hp,Black,Black,5,,,21500000.0,Lagos,,,,
194,No faults,Mercedes-Benz,C300,2008,Luxury Sedan RWD (3.0L 6cyl 7A),Sedan,Rear Wheel,3000cc,6,228hp,White,Other,5,Yes,Yes,8000000.0,Lagos,,,,
195,No faults,Toyota,Highlander,2011,Limited,SUV,Front Wheel,3500cc,6,274hp,Gray,Other,7,No,,21500000.0,Lagos,,,,
196,No faults,Hyundai,Elantra,2013,GLS Sedan FWD (1.8L 4cyl 6A),Sedan,Front Wheel,1800cc,4,,Silver,Gray,5,No,,9700000.0,Oyo,5NPEB4AC1DH******,,,
197,"No faults, Unpainted, Original parts",Toyota,Tacoma,2011,Double Cab V6 Automatic,Pickup,All Wheel,4000cc,6,239hp,Beige,,5,,,16550000.0,Lagos,,,,
198,"No faults, Unpainted, Original parts",Lexus,RX,2012,350 AWD,SUV,,,,,Gray,Black,,No,,20500000.0,Lagos,,,,
199,No faults,Toyota,Tundra,2011,Double Cab 4x4 Limited,Pickup,All Wheel,5700cc,8,386hp,Blue,,5,No,,17550000.0,Lagos,,,,
200,No faults,Ford,Edge,2014,Limited 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,285hp,Red,,5,Yes,,13500000.0,Lagos,,,,
201,No faults,Toyota,Camry,2012,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500cc,4,178hp,Black,Black,5,No,,13400000.0,Lagos,,,,
202,"Unpainted, No faults",Toyota,Camry,2009,SE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400cc,4,158hp,Gray,Black,5,No,,9700000.0,Lagos,,,,
203,,Toyota,Camry,2008,,,,,,,Gray,,,Yes,Yes,5950000.0,Lagos,,,,
204,No faults,Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Silver,,5,No,,14550000.0,Lagos,,,,
205,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Sport Edition,SUV,All Wheel,4000cc,6,260hp,Gray,Black,5,No,,13550000.0,Lagos,,,,
206,"No faults, Unpainted, Original parts",Toyota,Venza,2015,XLE 4dr Wagon (3.5L 6cyl 6A),SUV,Front Wheel,3500cc,6,268hp,Blue,,5,,,19550000.0,Lagos,,,,
207,"Unpainted, No faults, Original parts",Toyota,Tacoma,2013,Double Cab 4x4 4.0L V6 5-Speed Automatic,Pickup,All Wheel,4000cc,6,236hp,White,,5,,,22550000.0,Lagos,,,,
208,"No faults, Unpainted, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000cc,6,260hp,Gold,,5,No,,14550000.0,Lagos,,,,
209,,Mercedes-Benz,C200,2007,,,,,,,Silver,Black,,No,No,9500000.0,Lagos,,,,
210,No faults,Hyundai,Santa Fe,2015,Limited w/Saddle Interior 4dr SUV AWD (3.3L 6cyl 6A),SUV,All Wheel,3300cc,6,290hp,White,Black,,No,,21500000.0,Lagos,,,,
211,No faults,Toyota,Tacoma,2015,,,,,,,Silver,,,Yes,,16750000.0,Lagos,,,,
212,No faults,Lexus,RX,2011,350,SUV,,3500cc,6,279hp,Black,,5,No,Yes,20000000.0,Lagos,,,,
213,"No faults, Unpainted, Original parts",Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500cc,6,274hp,Green,Other,5,No,,17550000.0,Lagos,,,,
214,"No faults, Unpainted, Original parts",Lexus,ES,2014,350 FWD,Sedan,Front Wheel,3500cc,6,268hp,Gray,Black,5,No,,22000000.0,Lagos,,,,
215,"No faults, Unpainted, Original parts",Toyota,Sequoia,2004,Limited 4dr SUV (4.7L 8cyl 4A),SUV,,4700cc,8,,Gray,,,No,,6450000.0,Lagos,,,,
216,"No faults, Unpainted, Original parts",Toyota,Highlander,2010,Limited,SUV,Front Wheel,3500cc,6,274hp,Gold,,7,,,13550000.0,Lagos,,,,
217,"Unpainted, Original parts, No faults",Mercedes-Benz,GLE-Class,2016,GLE 350,,,,,,Gray,,,,,35000000.0,Abuja,,,,
218,,Lexus,RX,2024,,,,,,,Black,Red,,No,,148000000.0,Lagos,,,,
219,"Unpainted, No faults",Land Rover,Range Rover,2016,,,,,,,Black,,,No,,65000000.0,Lagos,,,,
220,"No faults, Unpainted, Original parts",Toyota,Sequoia,2013,Limited 4dr SUV (5.7L 8cyl 6A),SUV,,5700cc,8,,Gray,Other,,,,25000000.0,Lagos,,,,
221,"No faults, Unpainted, Original parts",Toyota,Highlander,2007,Limited V6,SUV,All Wheel,3300cc,6,218hp,Green,,7,No,,10850000.0,Lagos,,,,
222,"No faults, Unpainted, Original parts",Toyota,4-Runner,2009,Limited 4x4 V6,SUV,All Wheel,4000cc,6,236hp,Blue,,5,No,,12550000.0,Lagos,,,,
223,,Lexus,ES,2015,,,,,,,Red,,,No,,24000000.0,Lagos,,,,
224,"Original parts, Unpainted",Lexus,GX,2014,460 Luxury,SUV,4x4,4600cc,8,301hp,Gold,Brown,7,Yes,,35000000.0,Lagos,,,,
225,No faults,Lexus,ES,2012,350,Sedan,Front,,6,,Gray,Black,5,Yes,,8950000.0,Lagos,,,,
226,,Toyota,Camry,2015,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500cc,4,178hp,Silver,Black,5,,,14000000.0,Lagos,,,,
227,,Peugeot,307,2003,,,,1400cc,,,Silver,,,,,3375000.0,Abuja,,PLATEAU,Registered,Registered
